"user_supplied_name","submitted_name","data_source_id","data_source_title","gni_uuid","matched_name2","classification_path","classification_path_ranks","classification_path_ids","taxon_id","edit_distance","url","imported_at","match_type","match_value","prescore","score","local_id","current_taxon_id","current_name_string","global_id"
"Vermivora cyanoptera","Vermivora cyanoptera",2,"Wikispecies","712f9298-ec10-59d7-b0df-841c64c1cb26","Vermivora cyanoptera","","","","20404",0,"http://species.wikimedia.org/wiki/Vermivora_cyanoptera","2022-06-10T19:46:47Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Ammogramus savannarum","Ammogramus savannarum",1,"Catalogue of Life Checklist","bd761468-fe90-5077-ae35-6d51fdcc4f26","Ammodramus savannarum","Biota|Animalia|Chordata|Vertebrata|Gnathostomata|Osteichthyes|Sarcopterygii|Tetrapoda|Amniota|Aves|Passeriformes|Emberizidae|Ammodramus|Ammodramus savannarum","unranked|kingdom|phylum|subphylum|infraphylum|parvphylum|gigaclass|megaclass|superclass|class|order|family|genus|species","5T6MX|N|CH2|8V4V3|8V4V5|8VVWB|8VSMX|9CK8W|8VLBH|V2|3RL|9N5|TWW|CTL9","CTL9",1,NA,"2022-09-02T22:48:41Z",3,"Fuzzy match by canonical form","1|0|0",0.75,NA,NA,NA,NA
"Ammospiza caudacuta","Ammospiza caudacuta",2,"Wikispecies","f236d2aa-9ea1-515f-8f9f-a82014150e84","Ammospiza caudacuta","","","","19440",0,"http://species.wikimedia.org/wiki/Ammospiza_caudacuta","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Ammospiza leconteii","Ammospiza leconteii",2,"Wikispecies","a323515d-d58c-53c2-94cc-315e43c5e51e","Ammospiza leconteii","","","","19443",0,"http://species.wikimedia.org/wiki/Ammospiza_leconteii","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Ammospiza maritima","Ammospiza maritima",2,"Wikispecies","dfa0e5cb-cfa4-511b-8024-624a0cead30e","Ammospiza maritima","","","","19444",0,"http://species.wikimedia.org/wiki/Ammospiza_maritima","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Ammospiza nelsoni","Ammospiza nelsoni",2,"Wikispecies","5b2f3e69-da65-595f-be51-513da24ecaaf","Ammospiza nelsoni","","","","19445",0,"http://species.wikimedia.org/wiki/Ammospiza_nelsoni","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Calamospiza melanocorys","Calamospiza melanocorys",2,"Wikispecies","0b6f3b68-716b-508e-9d35-269069bad9be","Calamospiza melanocorys","","","","19555",0,"http://species.wikimedia.org/wiki/Calamospiza_melanocorys","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Centronyx henslowii","Centronyx henslowii",2,"Wikispecies","82ec7f30-03b7-563c-80a9-5b50859cb3f3","Centronyx henslowii","","","","19441",0,"http://species.wikimedia.org/wiki/Centronyx_henslowii","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Chondestes grammacus","Chondestes grammacus",2,"Wikispecies","41ef0218-6aee-53b0-98bd-2c3f24a7f73d","Chondestes grammacus","","","","19603",0,"http://species.wikimedia.org/wiki/Chondestes_grammacus","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
"Junco hyemalis","Junco hyemalis",2,"Wikispecies","31352089-2b9d-5114-9067-851cc7a17de6","Junco hyemalis","","","","19770",0,"http://species.wikimedia.org/wiki/Junco_hyemalis","2022-06-10T19:46:46Z",1,"Exact string match","3|0|0",0.988,NA,NA,NA,NA
