"source_binomial","source","submitted_name","matched_name2","search_name"
"Columbina passerina","HarrisonGoldspiel_LandVertsNortheast","Columbina passerina","Columbina passerina","Columbina passerina"
"Condylura cristata","HarrisonGoldspiel_LandVertsNortheast","Condylura cristata","Condylura cristata","Condylura cristata"
"Conger oceanicus","ReneeFrancolini_MaineFish","Conger oceanicus","Conger oceanicus","Conger oceanicus"
"Contopus cooperii","HarrisonGoldspiel_LandVertsNortheast","Contopus cooperii","Contopus cooperi","Contopus cooperi"
"Contopus sordidulus","HarrisonGoldspiel_LandVertsNortheast","Contopus sordidulus","Contopus sordidulus","Contopus sordidulus"
"Contopus virens","HarrisonGoldspiel_LandVertsNortheast","Contopus virens","Contopus virens","Contopus virens"
"Coragyps atratus","HarrisonGoldspiel_LandVertsNortheast","Coragyps atratus","Coragyps atratus","Coragyps atratus"
"Corvus brachyrhynchos","HarrisonGoldspiel_LandVertsNortheast","Corvus brachyrhynchos","Corvus brachyrhynchos","Corvus brachyrhynchos"
"Corvus corax","HarrisonGoldspiel_LandVertsNortheast","Corvus corax","Corvus corax","Corvus corax"
"Corvus monedula","HarrisonGoldspiel_LandVertsNortheast","Corvus monedula","Corvus monedula","Corvus monedula"
"Corvus ossifragus","HarrisonGoldspiel_LandVertsNortheast","Corvus ossifragus","Corvus ossifragus","Corvus ossifragus"
"Coturnicops noveboracensis","HarrisonGoldspiel_LandVertsNortheast","Coturnicops noveboracensis","Coturnicops noveboracensis","Coturnicops noveboracensis"
"Crex crex","HarrisonGoldspiel_LandVertsNortheast","Crex crex","Crex crex","Crex crex"
"Crotalus horridus","HarrisonGoldspiel_LandVertsNortheast","Crotalus horridus","Crotalus horridus","Crotalus horridus"
"Crotophaga sulcirostris","HarrisonGoldspiel_LandVertsNortheast","Crotophaga sulcirostris","Crotophaga sulcirostris","Crotophaga sulcirostris"
