species_binomial,phylum,source
Crenella faba,mollusca,GoMA_census_fauna
Crenella glandula,mollusca,GoMA_census_fauna
Cuspidaria glacialis,mollusca,GoMA_census_fauna
Cuspidaria pellucida,mollusca,GoMA_census_fauna
Cuspidaria rostrata,mollusca,GoMA_census_fauna
Cyclocardia borealis,mollusca,GoMA_census_fauna
Cyclocardia novangliae,mollusca,GoMA_census_fauna
Cyclopecten pustulosus,mollusca,GoMA_census_fauna
Cyrtodaria siliqua,mollusca,GoMA_census_fauna
Elliptio complanata,mollusca,GoMA_census_fauna
Ensis directus,mollusca,GoMA_census_fauna
Gemma gemma,mollusca,GoMA_census_fauna
Geukensia demissa,mollusca,GoMA_census_fauna
Hiatella arctica,mollusca,GoMA_census_fauna
Hiatella striata,mollusca,GoMA_census_fauna
Lampsilis radiata,mollusca,GoMA_census_fauna
Limatula subauriculata,mollusca,GoMA_census_fauna
Lucinoma filosa,mollusca,GoMA_census_fauna
Lyonsia arenosa,mollusca,GoMA_census_fauna
Lyonsia hyalina,mollusca,GoMA_census_fauna
Macoma balthica,mollusca,GoMA_census_fauna
Macoma calcarea,mollusca,GoMA_census_fauna
Macoma lama,mollusca,GoMA_census_fauna
Mactromeris polynyma,mollusca,GoMA_census_fauna
Mercenaria mercenaria,mollusca,GoMA_census_fauna
Mesodesma arctatum,mollusca,GoMA_census_fauna
Mesodesma deauratum,mollusca,GoMA_census_fauna
Modiolus modiolus,mollusca,GoMA_census_fauna
Montacuta dawsoni,mollusca,GoMA_census_fauna
Mulinia lateralis,mollusca,GoMA_census_fauna
Musculus corrugatus,mollusca,GoMA_census_fauna
Musculus discors,mollusca,GoMA_census_fauna
Musculus niger,mollusca,GoMA_census_fauna
Mya arenaria,mollusca,GoMA_census_fauna
Mya truncata,mollusca,GoMA_census_fauna
Mysella planulata,mollusca,GoMA_census_fauna
Mytilus edulis,mollusca,GoMA_census_fauna
Mytilus trossulus,mollusca,GoMA_census_fauna
Nucula delphinodonta,mollusca,GoMA_census_fauna
Nucula proxima,mollusca,GoMA_census_fauna
Ennucula tenuis,mollusca,GoMA_census_fauna
Nuculana caudata,mollusca,GoMA_census_fauna
Nuculana minuta,mollusca,GoMA_census_fauna
Nuculana tenuisulcata,mollusca,GoMA_census_fauna
Ostrea edulis,mollusca,GoMA_census_fauna
Palliolum imbrifer,mollusca,GoMA_census_fauna
Pandora glacialis,mollusca,GoMA_census_fauna
Pandora gouldiana,mollusca,GoMA_census_fauna
Pandora inornata,mollusca,GoMA_census_fauna
Pandora trilineata,mollusca,GoMA_census_fauna
Panomya arctica,mollusca,GoMA_census_fauna
Panomya norvegica,mollusca,GoMA_census_fauna
Periploma fragile,mollusca,GoMA_census_fauna
Periploma leanum,mollusca,GoMA_census_fauna
Petricola pholadiformis,mollusca,GoMA_census_fauna
Petricolaria pholadiformis,mollusca,GoMA_census_fauna
Pholas dactylus,mollusca,GoMA_census_fauna
Pitar morrhuanus,mollusca,GoMA_census_fauna
Placopecten magellanicus,mollusca,GoMA_census_fauna
Portlandia lenticula,mollusca,GoMA_census_fauna
Serripes groenlandicus,mollusca,GoMA_census_fauna
Siliqua costata,mollusca,GoMA_census_fauna
Solemya borealis,mollusca,GoMA_census_fauna
Solemya velum,mollusca,GoMA_census_fauna
Spisula solidissima,mollusca,GoMA_census_fauna
Tellina agilis,mollusca,GoMA_census_fauna
Teredo navalis,mollusca,GoMA_census_fauna
Thracia conradi,mollusca,GoMA_census_fauna
Thracia myopsis,mollusca,GoMA_census_fauna
Thracia septentrionalis,mollusca,GoMA_census_fauna
Thyasira equalis,mollusca,GoMA_census_fauna
Thyasira flexuosa,mollusca,GoMA_census_fauna
Thyasira gouldii,mollusca,GoMA_census_fauna
Thyasira pygmaea,mollusca,GoMA_census_fauna
Thyasira simplex,mollusca,GoMA_census_fauna
Thyasira trisinuata,mollusca,GoMA_census_fauna
Turtonia minuta,mollusca,GoMA_census_fauna
Xylophaga atlantica,mollusca,GoMA_census_fauna
Yoldia amygdalea,mollusca,GoMA_census_fauna
Yoldia limatula,mollusca,GoMA_census_fauna
Yoldia myalis,mollusca,GoMA_census_fauna
Yoldia sapotilla,mollusca,GoMA_census_fauna
Yoldia thraciaeformis,mollusca,GoMA_census_fauna
Yoldiella nana,mollusca,GoMA_census_fauna
Zirfaea crispata,mollusca,GoMA_census_fauna
Bathypolypus arcticus,mollusca,GoMA_census_fauna
Bathypolypus bairdii,mollusca,GoMA_census_fauna
Benthoctopus piscatorum,mollusca,GoMA_census_fauna
Chiroteuthis veranyi lacertosa,mollusca,GoMA_census_fauna
Graneledone verrucosa,mollusca,GoMA_census_fauna
Histioteuthis bonnellii,mollusca,GoMA_census_fauna
Illex illecebrosus,mollusca,GoMA_census_fauna
Loligo pealeii,mollusca,GoMA_census_fauna
Mastigoteuthis agassizii,mollusca,GoMA_census_fauna
Rossia megaptera,mollusca,GoMA_census_fauna
Rossia palpebrosa,mollusca,GoMA_census_fauna
Semirossia tenera,mollusca,GoMA_census_fauna
Stauroteuthis syrtensis,mollusca,GoMA_census_fauna
Stoloteuthis leucoptera,mollusca,GoMA_census_fauna
Antalis entale stimpsoni,mollusca,GoMA_census_fauna
Antalis subagile,mollusca,GoMA_census_fauna
Antalis occidentale,mollusca,GoMA_census_fauna
Cadulus rushii,mollusca,GoMA_census_fauna
Siphonodentalium lobatum,mollusca,GoMA_census_fauna
Adoncholaimus fuscus,nematoda,GoMA_census_fauna
Anisakis simplex,nematoda,GoMA_census_fauna
Anoplostoma blanchardi,nematoda,GoMA_census_fauna
Anticoma sp.,nematoda,GoMA_census_fauna
Calyptronema sp.,nematoda,GoMA_census_fauna
Chromadorina germanica,nematoda,GoMA_census_fauna
Chromaspirina thieryi,nematoda,GoMA_census_fauna
Cylindrotheristus oxycercus,nematoda,GoMA_census_fauna
Cylindrotheristus oxyuroides,nematoda,GoMA_census_fauna
Desmodora luticola,nematoda,GoMA_census_fauna
Dichromadora scandula,nematoda,GoMA_census_fauna
Dioctophyma renale,nematoda,GoMA_census_fauna
Enoploides sp.,nematoda,GoMA_census_fauna
Enoplus anisospiculus,nematoda,GoMA_census_fauna
Eudorylaimus sp.,nematoda,GoMA_census_fauna
Haliplectus cylindrocaudatus,nematoda,GoMA_census_fauna
Illium sp.,nematoda,GoMA_census_fauna
Leptolaimus sp.,nematoda,GoMA_census_fauna
Mesotheristus setosus,nematoda,GoMA_census_fauna
Metachromadoroides remanei,nematoda,GoMA_census_fauna
Metanisakis rotundatum,nematoda,GoMA_census_fauna
Microlaimus sp.,nematoda,GoMA_census_fauna
Monhystera disjuncta,nematoda,GoMA_census_fauna
Monhystera macrura,nematoda,GoMA_census_fauna
Oncholaimus nigrocephalatus,nematoda,GoMA_census_fauna
Paracanthonchus sp.,nematoda,GoMA_census_fauna
Pontonema vacillatum,nematoda,GoMA_census_fauna
Pontonema vulgare,nematoda,GoMA_census_fauna
Ptycholaimellus sp.,nematoda,GoMA_census_fauna
Spirinia sp.,nematoda,GoMA_census_fauna
Syringolaimus striatocaudatus,nematoda,GoMA_census_fauna
Thalassoalaimus sp.,nematoda,GoMA_census_fauna
Theristus procerus,nematoda,GoMA_census_fauna
Theristus acer,nematoda,GoMA_census_fauna
Tripyloides sp.,nematoda,GoMA_census_fauna
Viscosia sp.,nematoda,GoMA_census_fauna
Ascarophis filiformis,nematoda,GoMA_census_fauna
Rhabditis sp.,nematoda,GoMA_census_fauna
Pseudoterranova decipiens,nematoda,GoMA_census_fauna
Thynnascaris aduncum,nematoda,GoMA_census_fauna
Thynnascaris thynnascans,nematoda,GoMA_census_fauna
Truttaedacnitis sphaeracephala,nematoda,GoMA_census_fauna
Nectonema agile,nematomorpha,GoMA_census_fauna
Amphiporus angulatus,nemertea,GoMA_census_fauna
Amphiporus bioculatus,nemertea,GoMA_census_fauna
Amphiporus caecus,nemertea,GoMA_census_fauna
Amphiporus frontalis,nemertea,GoMA_census_fauna
Amphiporus griseus,nemertea,GoMA_census_fauna
Amphiporus groenlandicus,nemertea,GoMA_census_fauna
Amphiporus heterosorus,nemertea,GoMA_census_fauna
Amphiporus lactifloreus,nemertea,GoMA_census_fauna
Amphiporus ochraceus,nemertea,GoMA_census_fauna
Carcinonemertes carinophila,nemertea,GoMA_census_fauna
Cephalothrix linearis,nemertea,GoMA_census_fauna
Cerebratulus fuscus,nemertea,GoMA_census_fauna
Cerebratulus lacteus,nemertea,GoMA_census_fauna
Cerebratulus luridus,nemertea,GoMA_census_fauna
Cerebratulus marginatus,nemertea,GoMA_census_fauna
Cyanophthalma cordiceps,nemertea,GoMA_census_fauna
Cyanophthalma obscura,nemertea,GoMA_census_fauna
Cyanophthalma vittata,nemertea,GoMA_census_fauna
Drepanophorus lankesteri,nemertea,GoMA_census_fauna
Fragilonemertes rosea,nemertea,GoMA_census_fauna
Lineus arenicola,nemertea,GoMA_census_fauna
Lineus bicolor,nemertea,GoMA_census_fauna
Lineus ruber,nemertea,GoMA_census_fauna
Lineus sanguineus,nemertea,GoMA_census_fauna
Lineus viridis,nemertea,GoMA_census_fauna
Malacobdella grossa,nemertea,GoMA_census_fauna
Micrura affinis,nemertea,GoMA_census_fauna
Micrura dorsalis,nemertea,GoMA_census_fauna
Nipponnemertes pulcher,nemertea,GoMA_census_fauna
Oerstedia dorsalis,nemertea,GoMA_census_fauna
Procephalothrix spiralis,nemertea,GoMA_census_fauna
Ramphogordius sanguineus,nemertea,GoMA_census_fauna
Rhamphogordius sanguineus,nemertea,GoMA_census_fauna
Tetrastemma candidum,nemertea,GoMA_census_fauna
Tetrastemma elegans,nemertea,GoMA_census_fauna
Tetrastemma vermiculus,nemertea,GoMA_census_fauna
Tetrastemma vittatum,nemertea,GoMA_census_fauna
Zygonemertes virescens,nemertea,GoMA_census_fauna
Phoronis architecta,phoronida,GoMA_census_fauna
Alaurina composita,platyhelminthes,GoMA_census_fauna
Anaperus gardineri,platyhelminthes,GoMA_census_fauna
Aphanostoma sanguineum,platyhelminthes,GoMA_census_fauna
Astrotorhynchus bifidus,platyhelminthes,GoMA_census_fauna
Bdelloura candida,platyhelminthes,GoMA_census_fauna
Bothriomolus balticus,platyhelminthes,GoMA_census_fauna
Cirrifera cirrifera,platyhelminthes,GoMA_census_fauna
Coelogynopora erotica,platyhelminthes,GoMA_census_fauna
Coelogynopora schulzii,platyhelminthes,GoMA_census_fauna
Conaperta hortulus,platyhelminthes,GoMA_census_fauna
Discocelides ellipsoides,platyhelminthes,GoMA_census_fauna
Foviella affinis,platyhelminthes,GoMA_census_fauna
Itaspiella armata,platyhelminthes,GoMA_census_fauna
Leptoplana ellipsoides,platyhelminthes,GoMA_census_fauna
Leptoplana variabilis,platyhelminthes,GoMA_census_fauna
Micropharynx parasitica,platyhelminthes,GoMA_census_fauna
Monocelis durhami,platyhelminthes,GoMA_census_fauna
Myopea caleum,platyhelminthes,GoMA_census_fauna
Notoplana atomata,platyhelminthes,GoMA_census_fauna
Otocelis sandara,platyhelminthes,GoMA_census_fauna
Paedomecynostomun bruneum,platyhelminthes,GoMA_census_fauna
Paramacrostomum tricladoides,platyhelminthes,GoMA_census_fauna
Philocelis brueggemanni,platyhelminthes,GoMA_census_fauna
Plagiostomum album,platyhelminthes,GoMA_census_fauna
Polychoerus caudatus,platyhelminthes,GoMA_census_fauna
Praeaphanostoma wadsworthi,platyhelminthes,GoMA_census_fauna
Praeconvoluta tigrina,platyhelminthes,GoMA_census_fauna
Praeconvoluta tornuva,platyhelminthes,GoMA_census_fauna
Procerodes littoralis,platyhelminthes,GoMA_census_fauna
Spathebothrium simplex,platyhelminthes,GoMA_census_fauna
Synoelidium pellucidum,platyhelminthes,GoMA_census_fauna
Trigonoporus folium,platyhelminthes,GoMA_census_fauna
Diclidophora denticulata,platyhelminthes,GoMA_census_fauna
Diclidophoroides maccallumi,platyhelminthes,GoMA_census_fauna
Discocotyle sagittata,platyhelminthes,GoMA_census_fauna
Entobdella curvunca,platyhelminthes,GoMA_census_fauna
Entobdella hippoglossi,platyhelminthes,GoMA_census_fauna
Gyrodactylus adspersi,platyhelminthes,GoMA_census_fauna
Gyrodactylus groenlandicus,platyhelminthes,GoMA_census_fauna
Gyrodactylus pleuronecti,platyhelminthes,GoMA_census_fauna
Gyrodactylus salmonis,platyhelminthes,GoMA_census_fauna
Anthocotyle merluccii,platyhelminthes,GoMA_census_fauna
Capsala martinierei,platyhelminthes,GoMA_census_fauna
Cryptocotyle lingua,platyhelminthes,GoMA_census_fauna
Derogenes varicus,platyhelminthes,GoMA_census_fauna
Deropristus inflata,platyhelminthes,GoMA_census_fauna
Diclybothrium armatum,platyhelminthes,GoMA_census_fauna
Fundulotrema prolongis,platyhelminthes,GoMA_census_fauna
Hemiurus levinseni,platyhelminthes,GoMA_census_fauna
Laminiscus gussevi,platyhelminthes,GoMA_census_fauna
Lecithaster gibbosus,platyhelminthes,GoMA_census_fauna
Lepidapedon elongatum,platyhelminthes,GoMA_census_fauna
Lepidapedon rachion,platyhelminthes,GoMA_census_fauna
Lepidophyllum appyi,platyhelminthes,GoMA_census_fauna
Lepidophyllum steenstrupi,platyhelminthes,GoMA_census_fauna
Microcotyle pomatomi,platyhelminthes,GoMA_census_fauna
Microcotyle poronoti,platyhelminthes,GoMA_census_fauna
Microphallus sp.,platyhelminthes,GoMA_census_fauna
Neochildia fusca,platyhelminthes,GoMA_census_fauna
Nitzia superba,platyhelminthes,GoMA_census_fauna
Nitzschia sturionis,platyhelminthes,GoMA_census_fauna
Otodistomum veliporum,platyhelminthes,GoMA_census_fauna
Parorchis ocanthus,platyhelminthes,GoMA_census_fauna
Podocotyle atomon,platyhelminthes,GoMA_census_fauna
Prosorhynchus crucibulum,platyhelminthes,GoMA_census_fauna
Pseudanthocotyla sp.,platyhelminthes,GoMA_census_fauna
Salsuginus angularis,platyhelminthes,GoMA_census_fauna
Salsuginus fundulus,platyhelminthes,GoMA_census_fauna
Stephanostomum baccatum,platyhelminthes,GoMA_census_fauna
Squalonchocotyle abbreviata,platyhelminthes,GoMA_census_fauna
Udonella caligorum,platyhelminthes,GoMA_census_fauna
Abothrium gadi,platyhelminthes,GoMA_census_fauna
Grillotia erinaceus,platyhelminthes,GoMA_census_fauna
Trilocularia acanthiae,platyhelminthes,GoMA_census_fauna
Leucosolenia botryoides,porifera,GoMA_census_fauna
Leucosolenia cancellata,porifera,GoMA_census_fauna
Sycon ciliatum,porifera,GoMA_census_fauna
Scypha ciliata,porifera,GoMA_census_fauna
Amphilectus lobata,porifera,GoMA_census_fauna
Chalinula loosanoffi,porifera,GoMA_census_fauna
Clathria prolifera,porifera,GoMA_census_fauna
Cliona celata,porifera,GoMA_census_fauna
Crella rosea,porifera,GoMA_census_fauna
Halichondria bowerbanki,porifera,GoMA_census_fauna
Halichondria panicea,porifera,GoMA_census_fauna
Halichondria sitiens,porifera,GoMA_census_fauna
Haliclona canaliculata,porifera,GoMA_census_fauna
Haliclona oculata,porifera,GoMA_census_fauna
Haliclona permollis,porifera,GoMA_census_fauna
Halisarca dujardini,porifera,GoMA_census_fauna
Hymedesmia canadensis,porifera,GoMA_census_fauna
Hymeniacidon heliophila,porifera,GoMA_census_fauna
Iophon pattersoni,porifera,GoMA_census_fauna
Iophon nigricans,porifera,GoMA_census_fauna
Isodictya deichmannae,porifera,GoMA_census_fauna
Isodictya palmata,porifera,GoMA_census_fauna
Melonanchora elliptica,porifera,GoMA_census_fauna
Microciona prolifera,porifera,GoMA_census_fauna
Mycale lingua,porifera,GoMA_census_fauna
Myxilla fimbriata,porifera,GoMA_census_fauna
Pione vastifica,porifera,GoMA_census_fauna
Polymastia robusta,porifera,GoMA_census_fauna
Prosuberites epiphytum,porifera,GoMA_census_fauna
Suberites ficus,porifera,GoMA_census_fauna
Tedania suctoria,porifera,GoMA_census_fauna
Topsentia genitrix,porifera,GoMA_census_fauna
Priapulus caudatus,priapula,GoMA_census_fauna
Synchaeta johanseni,rotifera,GoMA_census_fauna
Trichocerca stylata,rotifera,GoMA_census_fauna
Seison annulatus,rotifera,GoMA_census_fauna
Seison nebaliae,rotifera,GoMA_census_fauna
Golfingia margaritacea margaritacea,annelida,GoMA_census_fauna
Golfingia minuta,annelida,GoMA_census_fauna
Nephasoma diaphanes,annelida,GoMA_census_fauna
Nephasoma diaphanes diaphanes,annelida,GoMA_census_fauna
Nephasoma eremita,annelida,GoMA_census_fauna
Phascolion strombi,annelida,GoMA_census_fauna
Phascolopsis gouldi,annelida,GoMA_census_fauna
