source,source_binomial
HarrisonGoldspiel_LandVertsNortheast,Anas carolinensis
HarrisonGoldspiel_LandVertsNortheast,Anas crecca
HarrisonGoldspiel_LandVertsNortheast,Anas platyrhynchos
HarrisonGoldspiel_LandVertsNortheast,Anas rubripes
HarrisonGoldspiel_LandVertsNortheast,Anser albifrons
HarrisonGoldspiel_LandVertsNortheast,Anser brachyrhynchus
HarrisonGoldspiel_LandVertsNortheast,Anser caerulescens
HarrisonGoldspiel_LandVertsNortheast,Anser indicus
HarrisonGoldspiel_LandVertsNortheast,Anser rossii
HarrisonGoldspiel_LandVertsNortheast,Aythya americana
HarrisonGoldspiel_LandVertsNortheast,Aythya collaris
HarrisonGoldspiel_LandVertsNortheast,Aythya fuligula
HarrisonGoldspiel_LandVertsNortheast,Aythya marila
HarrisonGoldspiel_LandVertsNortheast,Aythya valisineria
HarrisonGoldspiel_LandVertsNortheast,Branta bernicula
HarrisonGoldspiel_LandVertsNortheast,Branta canadensis
HarrisonGoldspiel_LandVertsNortheast,Branta hutchinsii
HarrisonGoldspiel_LandVertsNortheast,Branta leucopsis
HarrisonGoldspiel_LandVertsNortheast,Bucephala albeola
HarrisonGoldspiel_LandVertsNortheast,Bucephala clangula
HarrisonGoldspiel_LandVertsNortheast,Bucephala islandica
HarrisonGoldspiel_LandVertsNortheast,Camptorhynchus labradorius
HarrisonGoldspiel_LandVertsNortheast,Carina moschata
HarrisonGoldspiel_LandVertsNortheast,Clangula hyemalis
HarrisonGoldspiel_LandVertsNortheast,Cygnus buccinator
HarrisonGoldspiel_LandVertsNortheast,Cygnus columbianus
HarrisonGoldspiel_LandVertsNortheast,Cygnus cygnus
HarrisonGoldspiel_LandVertsNortheast,Cygnus olor
HarrisonGoldspiel_LandVertsNortheast,Dendrocygna autumnalis
HarrisonGoldspiel_LandVertsNortheast,Dendrocygna bicolor
HarrisonGoldspiel_LandVertsNortheast,Histrionicus histrionicus
HarrisonGoldspiel_LandVertsNortheast,Lophodytes cucullatus
HarrisonGoldspiel_LandVertsNortheast,Mareca americana
HarrisonGoldspiel_LandVertsNortheast,Mareca strepera
HarrisonGoldspiel_LandVertsNortheast,Mareca penelope
HarrisonGoldspiel_LandVertsNortheast,Melanitta americana
HarrisonGoldspiel_LandVertsNortheast,Melanitta deglandi
HarrisonGoldspiel_LandVertsNortheast,Melanitta perspicillata
HarrisonGoldspiel_LandVertsNortheast,Mergus merganser
HarrisonGoldspiel_LandVertsNortheast,Mergus serrator
